Época 1/100 | Loss: 247.2357 | Acc: 0.0319
Época 2/100 | Loss: 240.7929 | Acc: 0.0468
Época 3/100 | Loss: 236.5404 | Acc: 0.0638
Época 4/100 | Loss: 232.7985 | Acc: 0.0702
Época 5/100 | Loss: 229.0143 | Acc: 0.0766
Época 6/100 | Loss: 224.8600 | Acc: 0.0957
Época 7/100 | Loss: 220.3206 | Acc: 0.1191
Época 8/100 | Loss: 215.4513 | Acc: 0.1319
Época 9/100 | Loss: 210.1624 | Acc: 0.1404
Época 10/100 | Loss: 204.6201 | Acc: 0.1638
Época 11/100 | Loss: 198.6865 | Acc: 0.1702
Época 12/100 | Loss: 192.5773 | Acc: 0.1872
Época 13/100 | Loss: 186.2753 | Acc: 0.2170
Época 14/100 | Loss: 179.8862 | Acc: 0.2191
Época 15/100 | Loss: 173.6291 | Acc: 0.2213
Época 16/100 | Loss: 167.8147 | Acc: 0.2319
Época 17/100 | Loss: 161.5620 | Acc: 0.2468
Época 18/100 | Loss: 155.8766 | Acc: 0.2489
Época 19/100 | Loss: 150.7505 | Acc: 0.2702
Época 20/100 | Loss: 145.6264 | Acc: 0.2787
Época 21/100 | Loss: 140.8185 | Acc: 0.2936
Época 22/100 | Loss: 136.2483 | Acc: 0.3128
Época 23/100 | Loss: 132.2190 | Acc: 0.3085
Época 24/100 | Loss: 127.9797 | Acc: 0.3128
Época 25/100 | Loss: 124.3346 | Acc: 0.3319
Época 26/100 | Loss: 120.7372 | Acc: 0.3553
Época 27/100 | Loss: 117.3836 | Acc: 0.3489
Época 28/100 | Loss: 113.9350 | Acc: 0.3489
Época 29/100 | Loss: 110.7868 | Acc: 0.3936
Época 30/100 | Loss: 108.0724 | Acc: 0.3745
Época 31/100 | Loss: 105.3215 | Acc: 0.3872
Época 32/100 | Loss: 102.6855 | Acc: 0.4021
Época 33/100 | Loss: 100.0651 | Acc: 0.4043
Época 34/100 | Loss: 97.6746 | Acc: 0.3830
Época 35/100 | Loss: 95.3751 | Acc: 0.4000
Época 36/100 | Loss: 93.0713 | Acc: 0.4170
Época 37/100 | Loss: 91.1059 | Acc: 0.4106
Época 38/100 | Loss: 89.1164 | Acc: 0.3936
Época 39/100 | Loss: 87.0086 | Acc: 0.4213
Época 40/100 | Loss: 84.7514 | Acc: 0.4404
Época 41/100 | Loss: 82.8911 | Acc: 0.4043
Época 42/100 | Loss: 81.0798 | Acc: 0.4128
Época 43/100 | Loss: 79.5723 | Acc: 0.4191
Época 44/100 | Loss: 77.4614 | Acc: 0.4298
Época 45/100 | Loss: 75.8604 | Acc: 0.4170
Época 46/100 | Loss: 74.3923 | Acc: 0.4362
Época 47/100 | Loss: 72.5210 | Acc: 0.4234
Época 48/100 | Loss: 71.2551 | Acc: 0.4234
Época 49/100 | Loss: 69.4115 | Acc: 0.4255
Época 50/100 | Loss: 68.0750 | Acc: 0.4468
Época 51/100 | Loss: 66.6261 | Acc: 0.4191
Época 52/100 | Loss: 65.3199 | Acc: 0.4383
Época 53/100 | Loss: 63.8437 | Acc: 0.4319
